country,population_2024,population_growthRate,land_area,region,population_density,population_densityMi,Hdi2021,Hdi2020,WorldHappiness2022
Jordan,11384922,0.00422,89342,Asia,128.2172,332.0827,0.72,0.723,4.152
Honduras,10759406,0.01563,112492,North America,96.1606,249.0559,0.621,0.621,6.022
Sweden,10673669,0.0058,450295,Europe,26.207,67.8761,0.947,0.942,7.384
Czech Republic,10503734,0.0008,78865,Europe,136.0614,352.399,0.889,0.892,6.92
Azerbaijan,10462904,0.00483,86600,Asia,126.599,327.8915,0.745,0.73,5.173
Tajikistan,10331513,0.01853,143100,Asia,74.4399,192.7993,0.685,0.664,5.377
Greece,10302720,-0.00373,131990,Europe,79.928,207.0135,0.887,0.886,5.948
Portugal,10223349,-0.00237,92090,Europe,111.6018,289.0486,0.866,0.863,6.016
Hungary,9994993,-0.01588,93028,Europe,109.5222,283.6624,0.846,0.849,6.086
United Arab Emirates,9591853,0.00788,83600,Asia,135.0585,349.8015,0.911,0.912,6.576
Belarus,9455037,-0.00455,207600,Europe,46.5811,120.6451,0.808,0.807,5.821
Israel,9311652,0.01495,20770,Asia,430.2982,1114.4722,0.919,0.917,7.364
Togo,9260864,0.02287,56785,Africa,170.2678,440.9935,0.539,0.535,4.112
Sierra Leone,8977972,0.02126,71740,Africa,124.3831,322.1522,0.477,0.475,3.574
Austria,8977139,0.00203,83871,Europe,108.7874,281.7595,0.916,0.913,7.163
Switzerland,8851431,0.00623,41284,Europe,223.9961,580.15,0.962,0.956,7.512
Laos,7736681,0.01348,236800,Asia,33.5211,86.8198,0.607,0.608,5.14
Nicaragua,7142529,0.01366,130373,North America,59.3529,153.724,0.667,0.654,6.165
Serbia,7097028,-0.00728,88361,Europe,81.146,210.1681,0.802,0.804,6.178
Libya,6964197,0.01101,1759540,Africa,3.958,10.2511,0.718,0.703,5.33
Paraguay,6947270,0.0125,406752,South America,17.4862,45.2893,0.717,0.73,5.578
Kyrgyzstan,6839606,0.01548,199951,Asia,35.6601,92.3596,0.692,0.689,5.828
Bulgaria,6618615,-0.01033,110879,Europe,60.9673,157.9054,0.795,0.802,5.371
Turkmenistan,6598071,0.01258,488100,Asia,14.0405,36.365,0.745,0.741,5.474
El Salvador,6396289,0.00493,21041,North America,308.7012,799.5361,0.675,0.672,6.12
Republic of the Congo,6244547,0.02255,342000,Africa,18.2856,47.3598,0.571,0.574,5.075
Singapore,6052709,0.00632,710,Asia,8429.9568,21833.5882,0.939,0.939,6.48
Denmark,5939695,0.00487,43094,Europe,148.4924,384.5953,0.948,0.947,7.636
Slovakia,5702832,-0.01594,49037,Europe,116.3013,301.2202,0.848,0.857,6.391
Finland,5549886,0.0008,338424,Europe,18.2598,47.2929,0.94,0.938,7.821
Liberia,5536949,0.02188,111369,Africa,57.4849,148.886,0.481,0.48,5.122
Norway,5514477,0.00733,323802,Europe,15.1378,39.2069,0.961,0.959,7.365
Palestine,5494963,0.02304,6220,Asia,912.7846,2364.112,0.715,0.716,4.483
New Zealand,5269939,0.008,270467,Oceania,20.0142,51.8368,0.937,0.936,7.2
Costa Rica,5246714,0.00663,51100,North America,102.7559,266.1377,0.809,0.816,6.582
Lebanon,5219044,-0.02519,10452,Asia,510.1705,1321.3415,0.706,0.726,2.955
Ireland,5089478,0.00644,70273,Europe,73.8783,191.3449,0.945,0.943,7.041
Mauritania,4993922,0.02692,1030700,Africa,4.8452,12.549,0.556,0.556,4.153
Panama,4527961,0.0134,75417,North America,61.0402,158.0941,0.805,0.801,6.309
Kuwait,4349380,0.00911,17818,Asia,244.073,632.1489,0.831,0.822,6.106
Croatia,3986627,-0.00549,56594,Europe,71.2407,184.5133,0.858,0.855,6.125
Georgia,3717425,-0.00291,69700,Asia,53.4958,138.5542,0.802,0.802,4.973
Mongolia,3493629,0.01348,1564110,Asia,2.2431,5.8096,0.739,0.745,5.761
Uruguay,3423316,0.00006,181034,South America,19.5596,50.6593,0.809,0.821,6.474
Moldova,3329865,-0.03087,33846,Europe,101.2591,262.2611,0.767,0.766,5.857
Bosnia and Herzegovina,3194378,-0.00513,51209,Europe,62.3902,161.5906,0.78,0.781,5.768
Gambia,2841803,0.02475,10689,Africa,280.8106,727.2994,0.5,0.501,5.164
Albania,2826020,-0.00227,28748,Europe,103.1394,267.1311,0.796,0.794,5.199
Jamaica,2824738,-0.00029,10991,North America,260.8253,675.5375,0.709,0.713,5.85
Armenia,2777979,0,29743,Asia,97.5757,252.721,0.759,0.757,5.399
Botswana,2719694,0.01657,582000,Africa,4.7989,12.4292,0.693,0.713,3.471
Lithuania,2692798,-0.0094,65300,Europe,43.0022,111.3757,0.875,0.879,6.446
Namibia,2645805,0.01599,825615,Africa,3.2137,8.3235,0.615,0.633,4.459
Gabon,2484557,0.0197,267668,Africa,9.6424,24.9738,0.706,0.71,4.958
Lesotho,2356083,0.01106,30355,Africa,77.6048,200.9965,0.514,0.521,3.512
Slovenia,2118965,-0.00034,20273,Europe,105.2306,272.5472,0.918,0.913,6.63
North Macedonia,2082706,-0.00143,25713,Europe,82.5815,213.8861,0.77,0.774,5.199
Latvia,1810240,-0.01091,64559,Europe,29.0895,75.3418,0.863,0.871,6.18
Bahrain,1498712,0.00889,765,Asia,1909.1873,4944.795,0.875,0.877,6.647
Estonia,1319041,-0.00282,45227,Europe,30.8548,79.9138,0.89,0.892,6.341
Mauritius,1301978,0.00109,2040,Africa,641.3685,1661.1443,0.802,0.804,6.071
Cyprus,1268467,0.00661,9251,Europe,137.28,355.5551,0.896,0.894,6.221
Eswatini,1222075,0.00929,17364,Africa,71.0509,184.0218,0.597,0.61,4.396
Comoros,867605,0.01823,1862,Africa,466.2037,1207.4675,0.558,0.562,4.609
Luxembourg,661594,0.01043,2586,Europe,256.9796,665.5772,0.93,0.924,7.404
Montenegro,626102,-0.00061,13812,Europe,46.5503,120.5654,0.832,0.826,5.547
Malta,536740,0.00313,316,Europe,1677.3125,4344.2394,0.918,0.911,6.447
Iceland,377689,0.00632,103000,Europe,3.7458,9.7016,0.959,0.957,7.557
